iter	Passed	Remaining
0	136	8032
1	136	3965
2	137	2605
3	137	1925
4	137	1517
5	138	1244
6	138	1048
7	138	902
8	139	788
9	139	698
10	140	624
11	140	563
12	141	511
13	141	466
14	142	427
15	142	393
16	143	362
17	143	335
18	144	311
19	144	289
20	145	269
21	145	251
22	145	234
23	146	220
24	147	206
25	148	193
26	148	181
27	148	170
28	149	159
29	149	149
30	149	140
31	150	131
32	150	123
33	151	115
34	151	108
35	151	101
36	152	94
37	153	88
38	153	82
39	154	77
40	154	71
41	154	66
42	155	61
43	155	56
44	156	52
45	156	47
46	156	43
47	157	39
48	157	35
49	158	31
50	159	28
51	159	24
52	160	21
53	161	17
54	161	14
55	162	11
56	162	8
57	162	5
58	163	2
59	163	0
